iter	Passed	Remaining
485	636	672
486	637	671
487	638	669
488	639	668
489	640	666
490	642	665
491	643	664
492	644	662
493	645	661
494	646	659
495	647	658
496	649	656
497	650	655
498	651	654
499	652	652
500	654	651
501	657	652
502	659	651
503	661	650
504	662	649
505	663	648
506	664	646
507	665	644
508	667	643
509	668	642
510	669	641
511	671	639
512	672	638
513	673	637
514	675	636
515	676	634
516	677	633
517	678	631
518	679	630
519	681	628
520	682	627
521	683	626
522	685	625
523	686	623
524	688	622
525	689	621
526	690	619
527	691	618
528	692	616
529	693	615
530	695	613
531	696	612
532	698	611
533	699	610
534	701	609
535	702	608
536	703	606
537	705	605
538	706	603
539	707	602
540	708	600
541	709	599
542	710	598
543	712	596
544	713	595
545	714	594
546	715	592
547	717	591
548	718	590
549	720	589
550	721	587
551	722	586
552	723	584
553	724	583
554	725	581
555	726	580
556	728	579
557	729	577
558	730	576
559	731	575
560	733	573
561	734	572
562	735	571
563	736	569
564	738	568
565	739	566
566	740	565
567	741	564
568	743	562
569	744	561
570	745	560
571	747	559
572	748	557
573	749	556
574	750	554
575	751	553
576	752	551
577	754	550
578	755	549
579	756	547
580	758	546
581	759	545
582	760	544
583	762	542
584	763	541
585	764	539
586	765	538
587	766	536
588	767	535
589	768	534
590	769	532
591	770	531
592	771	529
593	773	528
594	774	527
595	776	526
596	777	524
597	778	523
598	779	522
599	780	520
600	781	519
601	783	517
602	783	516
603	784	514
604	786	513
605	787	512
606	788	510
607	789	509
608	791	507
609	793	507
610	794	505
611	795	504
612	796	502
613	797	501
614	798	499
615	800	498
616	801	497
617	802	496
618	803	494
619	804	493
620	805	491
621	807	490
622	808	489
623	809	487
624	810	486
625	811	484
626	812	483
627	814	482
628	815	480
629	816	479
630	818	478
631	819	477
632	820	475
633	821	474
634	822	472
635	823	471
636	824	470
637	825	468
638	827	467
639	828	465
640	829	464
641	830	463
642	832	462
643	833	460
644	835	459
645	836	458
646	837	456
647	838	455
648	840	454
649	841	452
650	842	451
651	843	450
652	844	448
653	846	447
654	848	446
655	849	445
656	850	444
657	851	442
658	852	441
659	854	440
660	855	438
661	856	437
662	857	435
663	859	434
664	860	433
665	861	432
666	863	430
667	864	429
668	865	428
669	866	426
670	867	425
671	868	423
672	869	422
673	870	421
674	872	419
675	873	418
676	874	417
677	875	415
678	876	414
679	877	413
680	879	411
681	880	410
682	881	409
683	882	407
684	883	406
685	885	405
686	886	403
687	887	402
688	888	401
689	889	399
690	890	398
691	892	397
692	893	395
693	894	394
694	895	392
695	896	391
696	897	390
697	899	389
698	900	387
699	901	386
700	902	384
701	903	383
702	904	382
703	906	380
704	907	379
705	908	378
706	909	376
707	910	375
708	910	373
709	911	372
710	913	371
711	914	369
712	915	368
713	916	367
714	917	365
715	918	364
716	920	363
717	921	361
718	922	360
719	923	359
720	925	357
721	926	356
722	926	355
723	927	353
724	928	352
725	929	350
726	931	349
727	932	348
728	933	346
729	934	345
730	935	344
731	936	342
732	937	341
733	938	340
734	939	338
735	940	337
736	941	335
737	942	334
738	942	333
739	943	331
740	944	330
741	945	328
742	946	327
743	947	326
744	948	324
745	951	323
746	952	322
747	953	321
748	955	320
749	956	318
750	958	317
751	959	316
752	960	315
753	962	313
754	963	312
755	965	311
756	967	310
757	968	309
758	969	307
759	970	306
760	971	305
761	972	303
762	973	302
763	974	301
764	975	299
765	977	298
766	978	297
767	979	295
768	980	294
769	981	293
770	983	292
771	984	290
772	985	289
773	986	288
774	987	286
775	989	285
776	990	284
777	992	283
778	993	281
779	995	280
780	996	279
781	997	278
782	998	276
783	999	275
784	1000	274
785	1002	272
786	1003	271
787	1004	270
788	1005	269
789	1007	267
790	1009	266
791	1010	265
792	1012	264
793	1013	262
794	1014	261
795	1015	260
796	1016	258
797	1017	257
798	1018	256
799	1019	254
800	1021	253
801	1022	252
802	1023	251
803	1024	249
804	1025	248
805	1027	247
806	1027	245
807	1029	244
808	1030	243
809	1031	242
810	1032	240
811	1034	239
812	1035	238
813	1036	236
814	1037	235
815	1038	234
816	1040	233
817	1041	231
818	1042	230
819	1043	229
820	1044	227
821	1045	226
822	1046	225
823	1048	223
824	1049	222
825	1050	221
826	1051	219
827	1052	218
828	1053	217
829	1054	216
830	1055	214
831	1057	213
832	1057	212
833	1058	210
834	1060	209
835	1061	208
836	1062	206
837	1063	205
838	1064	204
839	1065	203
840	1067	201
841	1068	200
842	1069	199
843	1070	197
844	1071	196
845	1073	195
846	1074	194
847	1075	192
848	1076	191
849	1077	190
850	1078	188
851	1079	187
852	1080	186
853	1081	184
854	1083	183
855	1084	182
856	1085	181
857	1086	179
858	1087	178
859	1088	177
860	1089	175
861	1091	174
862	1092	173
863	1093	172
864	1094	170
865	1095	169
866	1095	168
867	1097	166
868	1098	165
869	1099	164
870	1100	162
871	1101	161
872	1102	160
873	1103	159
874	1104	157
875	1105	156
876	1106	155
877	1107	153
878	1108	152
879	1109	151
880	1110	150
881	1111	148
882	1113	147
883	1114	146
884	1115	144
885	1116	143
886	1117	142
887	1117	141
888	1118	139
889	1119	138
890	1120	137
891	1121	135
892	1122	134
893	1123	133
894	1124	131
895	1125	130
896	1126	129
897	1127	128
898	1128	126
899	1129	125
900	1130	124
901	1131	122
902	1132	121
903	1133	120
904	1134	119
905	1135	117
906	1136	116
907	1137	115
908	1139	114
909	1140	112
910	1141	111
911	1142	110
912	1143	109
913	1145	107
914	1146	106
915	1147	105
916	1148	103
917	1149	102
918	1150	101
919	1151	100
920	1152	98
921	1154	97
922	1155	96
923	1156	95
924	1157	93
925	1158	92
926	1160	91
927	1161	90
928	1162	88
929	1163	87
930	1164	86
931	1165	85
932	1166	83
933	1167	82
934	1168	81
935	1169	79
936	1171	78
937	1172	77
938	1173	76
939	1174	74
940	1176	73
941	1177	72
942	1178	71
943	1179	69
